cat_no,cat_nm,item_cd,item_nm,ssg_price,unit,rate,rate_cnt
6000098014,면류/즉석식품/소스/오일,0000006610189,[팔도] 김치 왕뚜껑 110g,780,(1개당:780원),별점 4.93점,"(27,553개)"
6000098014,면류/즉석식품/소스/오일,0000007549115,[청정원] 클래식돈카츠소스 400g,"2,230",(100g당:558원),별점 4.92점,"(23,473개)"
6000098014,면류/즉석식품/소스/오일,0000006609067,[곰표] 중력 밀가루 1kg,"1,280",(100g당:128원),별점 4.92점,"(26,712개)"
6000098014,면류/즉석식품/소스/오일,1000030953272,이마트 엑스트라버진 올리브유 1L,"7,480",(100ml당:748원),별점 4.89점,"(8,694개)"
6000098014,면류/즉석식품/소스/오일,0000008333411,[농심] 튀김우동 큰사발 111g,950,(1개당:950원),별점 4.93점,"(48,690개)"
6000098014,면류/즉석식품/소스/오일,0000008333658,[농심] 오징어 짬뽕 5입 620g (124g5입),"3,850",(1개당:770원),별점 4.92점,"(35,900개)"
6000098014,면류/즉석식품/소스/오일,0000008843282,[백설]  찹쌀 호떡믹스 400g,"3,280",(100g당:820원),별점 4.93점,"(17,269개)"
6000098014,면류/즉석식품/소스/오일,0000008279126,[백설] 파스타  500g,"2,280",(100g당:456원),별점 4.94점,"(27,687개)"
6000098014,면류/즉석식품/소스/오일,1000045460466,햇반 흑미밥 210g*8번들,"9,980",(100g당:595원),별점 4.94점,"(2,137개)"
6000098014,면류/즉석식품/소스/오일,0000008333566,[농심] 생생우동 (253g3입/봉지),"4,980",(100g당:657원),별점 4.93점,"(33,237개)"
6000098014,면류/즉석식품/소스/오일,1000018071326,[노브랜드] 홈스타일 로제 스파게티 소스 400g,"1,780",(100g당:445원),별점 4.87점,"(15,786개)"
6000098014,면류/즉석식품/소스/오일,0000008602158,[농심] 사천 짜파게티 5입 685g (137g5입),"4,650",(1개당:930원),별점 4.92점,"(26,245개)"
6000098014,면류/즉석식품/소스/오일,0000007632630,팔도 틈새라면 빨계떡120g*5입,"4,000",(1개당:800원),별점 4.93점,"(29,829개)"
